fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,JUJUY,S,5074,2013,8.0,634.25
2013-01-01,LA PAMPA,A,4696,2013,8.0,587.0
2013-01-01,LA PAMPA,B,11263,2013,8.0,1407.875
2013-01-01,LA PAMPA,C,6600,2013,8.0,825.0
2013-01-01,LA PAMPA,D,13491,2013,8.0,1686.375
2013-01-01,LA PAMPA,E,11672,2013,8.0,1459.0
2013-01-01,LA PAMPA,F,5635,2013,8.0,704.375
2013-01-01,LA PAMPA,G,6549,2013,8.0,818.625
2013-01-01,LA PAMPA,H,8258,2013,8.0,1032.25
2013-01-01,LA PAMPA,I,3943,2013,8.0,492.875
2013-01-01,LA PAMPA,J,10071,2013,8.0,1258.875
2013-01-01,LA PAMPA,K,15461,2013,8.0,1932.625
2013-01-01,LA PAMPA,L,5503,2013,8.0,687.875
2013-01-01,LA PAMPA,M,4252,2013,8.0,531.5
2013-01-01,LA PAMPA,N,4861,2013,8.0,607.625
2013-01-01,LA PAMPA,O,9824,2013,8.0,1228.0
2013-01-01,LA PAMPA,P,7496,2013,8.0,937.0
2013-01-01,LA PAMPA,Q,5609,2013,8.0,701.125
2013-01-01,LA PAMPA,R,7862,2013,8.0,982.75
2013-01-01,LA PAMPA,S,5775,2013,8.0,721.875
2013-01-01,LA RIOJA,A,3951,2013,8.0,493.875
2013-01-01,LA RIOJA,B,5400,2013,8.0,675.0
2013-01-01,LA RIOJA,C,7073,2013,8.0,884.125
2013-01-01,LA RIOJA,D,13854,2013,8.0,1731.75
2013-01-01,LA RIOJA,E,6153,2013,8.0,769.125
2013-01-01,LA RIOJA,F,4994,2013,8.0,624.25
2013-01-01,LA RIOJA,G,5512,2013,8.0,689.0
2013-01-01,LA RIOJA,H,7066,2013,8.0,883.25
2013-01-01,LA RIOJA,I,4130,2013,8.0,516.25
2013-01-01,LA RIOJA,J,9537,2013,8.0,1192.125
2013-01-01,LA RIOJA,K,11283,2013,8.0,1410.375
2013-01-01,LA RIOJA,L,4351,2013,8.0,543.875
2013-01-01,LA RIOJA,M,4099,2013,8.0,512.375
2013-01-01,LA RIOJA,N,4725,2013,8.0,590.625
2013-01-01,LA RIOJA,O,4247,2013,8.0,530.875
2013-01-01,LA RIOJA,P,6383,2013,8.0,797.875
2013-01-01,LA RIOJA,Q,5334,2013,8.0,666.75
2013-01-01,LA RIOJA,R,7031,2013,8.0,878.875
2013-01-01,LA RIOJA,S,5091,2013,8.0,636.375
2013-01-01,LA RIOJA,Z,983,2013,8.0,122.875
2013-01-01,MENDOZA,A,3115,2013,8.0,389.375
2013-01-01,MENDOZA,B,22609,2013,8.0,2826.125
2013-01-01,MENDOZA,C,6735,2013,8.0,841.875
2013-01-01,MENDOZA,D,19325,2013,8.0,2415.625
2013-01-01,MENDOZA,E,9157,2013,8.0,1144.625
2013-01-01,MENDOZA,F,7011,2013,8.0,876.375
2013-01-01,MENDOZA,G,6111,2013,8.0,763.875
2013-01-01,MENDOZA,H,8035,2013,8.0,1004.375
2013-01-01,MENDOZA,I,4303,2013,8.0,537.875
2013-01-01,MENDOZA,J,9045,2013,8.0,1130.625
2013-01-01,MENDOZA,K,12129,2013,8.0,1516.125
2013-01-01,MENDOZA,L,4839,2013,8.0,604.875
2013-01-01,MENDOZA,M,6590,2013,8.0,823.75
2013-01-01,MENDOZA,N,4427,2013,8.0,553.375
2013-01-01,MENDOZA,O,6931,2013,8.0,866.375
2013-01-01,MENDOZA,P,4853,2013,8.0,606.625
2013-01-01,MENDOZA,Q,6076,2013,8.0,759.5
2013-01-01,MENDOZA,R,5293,2013,8.0,661.625
2013-01-01,MENDOZA,S,5471,2013,8.0,683.875
2013-01-01,MENDOZA,Z,6685,2013,8.0,835.625
2013-01-01,MISIONES,A,2910,2013,8.0,363.75
2013-01-01,MISIONES,B,6108,2013,8.0,763.5
2013-01-01,MISIONES,C,5348,2013,8.0,668.5
2013-01-01,MISIONES,D,20893,2013,8.0,2611.625
2013-01-01,MISIONES,E,8596,2013,8.0,1074.5
2013-01-01,MISIONES,F,4481,2013,8.0,560.125
2013-01-01,MISIONES,G,5820,2013,8.0,727.5
2013-01-01,MISIONES,H,8025,2013,8.0,1003.125
2013-01-01,MISIONES,I,4939,2013,8.0,617.375
2013-01-01,MISIONES,J,7413,2013,8.0,926.625
2013-01-01,MISIONES,K,11417,2013,8.0,1427.125
2013-01-01,MISIONES,L,5532,2013,8.0,691.5
2013-01-01,MISIONES,M,4244,2013,8.0,530.5
2013-01-01,MISIONES,N,4063,2013,8.0,507.875
2013-01-01,MISIONES,O,6181,2013,8.0,772.625
2013-01-01,MISIONES,P,5700,2013,8.0,712.5
2013-01-01,MISIONES,Q,5655,2013,8.0,706.875
2013-01-01,MISIONES,R,6191,2013,8.0,773.875
2013-01-01,MISIONES,S,5275,2013,8.0,659.375
2013-01-01,MISIONES,Z,7490,2013,8.0,936.25
2013-01-01,NEUQUEN,A,3742,2013,8.0,467.75
2013-01-01,NEUQUEN,B,26330,2013,8.0,3291.25
2013-01-01,NEUQUEN,C,10488,2013,8.0,1311.0
2013-01-01,NEUQUEN,D,20997,2013,8.0,2624.625
2013-01-01,NEUQUEN,E,11127,2013,8.0,1390.875
2013-01-01,NEUQUEN,F,9582,2013,8.0,1197.75
2013-01-01,NEUQUEN,G,7385,2013,8.0,923.125
