fecha,zona_prov,letra,w_mean
2013-01-01,SANTA CRUZ,M,10324
2013-01-01,SANTA CRUZ,N,8243
2013-01-01,SANTA CRUZ,O,14148
2013-01-01,SANTA CRUZ,P,8125
2013-01-01,SANTA CRUZ,Q,9118
2013-01-01,SANTA CRUZ,R,9027
2013-01-01,SANTA CRUZ,S,7654
2013-01-01,SANTA CRUZ,Z,7955
2013-01-01,SANTA FE,A,5030
2013-01-01,SANTA FE,B,13885
2013-01-01,SANTA FE,C,9203
2013-01-01,SANTA FE,D,15752
2013-01-01,SANTA FE,E,10545
2013-01-01,SANTA FE,F,4399
2013-01-01,SANTA FE,G,6566
2013-01-01,SANTA FE,H,8011
2013-01-01,SANTA FE,I,3766
2013-01-01,SANTA FE,J,9584
2013-01-01,SANTA FE,K,15261
2013-01-01,SANTA FE,L,5197
2013-01-01,SANTA FE,M,5251
2013-01-01,SANTA FE,N,5140
2013-01-01,SANTA FE,O,8100
2013-01-01,SANTA FE,P,5451
2013-01-01,SANTA FE,Q,7032
2013-01-01,SANTA FE,R,6595
2013-01-01,SANTA FE,S,6569
2013-01-01,SANTA FE,Z,5002
2013-01-01,SANTIAGO DEL ESTERO,A,4216
2013-01-01,SANTIAGO DEL ESTERO,B,5977
2013-01-01,SANTIAGO DEL ESTERO,C,5635
2013-01-01,SANTIAGO DEL ESTERO,D,13394
2013-01-01,SANTIAGO DEL ESTERO,E,6916
2013-01-01,SANTIAGO DEL ESTERO,F,5247
2013-01-01,SANTIAGO DEL ESTERO,G,5107
2013-01-01,SANTIAGO DEL ESTERO,H,8007
2013-01-01,SANTIAGO DEL ESTERO,I,3522
2013-01-01,SANTIAGO DEL ESTERO,J,7832
2013-01-01,SANTIAGO DEL ESTERO,K,10406
2013-01-01,SANTIAGO DEL ESTERO,L,6017
2013-01-01,SANTIAGO DEL ESTERO,M,3443
2013-01-01,SANTIAGO DEL ESTERO,N,4190
2013-01-01,SANTIAGO DEL ESTERO,O,4426
2013-01-01,SANTIAGO DEL ESTERO,P,4698
2013-01-01,SANTIAGO DEL ESTERO,Q,4742
2013-01-01,SANTIAGO DEL ESTERO,R,5090
2013-01-01,SANTIAGO DEL ESTERO,S,4795
2013-01-01,TIERRA DEL FUEGO,A,10963
2013-01-01,TIERRA DEL FUEGO,B,28421
2013-01-01,TIERRA DEL FUEGO,C,14828
2013-01-01,TIERRA DEL FUEGO,D,26313
2013-01-01,TIERRA DEL FUEGO,E,14487
2013-01-01,TIERRA DEL FUEGO,F,8056
2013-01-01,TIERRA DEL FUEGO,G,10308
2013-01-01,TIERRA DEL FUEGO,H,10470
2013-01-01,TIERRA DEL FUEGO,I,7495
2013-01-01,TIERRA DEL FUEGO,J,11891
2013-01-01,TIERRA DEL FUEGO,K,19098
2013-01-01,TIERRA DEL FUEGO,L,8091
2013-01-01,TIERRA DEL FUEGO,M,7285
2013-01-01,TIERRA DEL FUEGO,N,7813
2013-01-01,TIERRA DEL FUEGO,O,13634
2013-01-01,TIERRA DEL FUEGO,P,6636
2013-01-01,TIERRA DEL FUEGO,Q,9077
2013-01-01,TIERRA DEL FUEGO,R,9746
2013-01-01,TIERRA DEL FUEGO,S,9045
2013-01-01,TIERRA DEL FUEGO,Z,7302
2013-01-01,TUCUMAN,A,3722
